14,0,86
12,1,82
10,0,81
10,1,84
10,1,75
11,0,72
9,1,83
6,0,81
8,0,83
12,0,78
12,0,82
11,1,81
11,0,91
6,1,80
9,1,79
8,0,79
10,1,74
10,0,87
11,0,76
11,1,82
10,0,83
9,0,78
10,0,80
13,1,80
10,1,88
12,0,82
11,1,81
11,1,83
11,1,72
11,0,75
13,1,79
11,0,79
11,0,79
8,1,78
10,1,80
10,0,76
11,1,79
11,1,79
14,1,84
7,1,78
10,1,75
7,1,73
13,1,85
12,0,88
9,1,79
11,0,68
9,0,81
7,0,82
11,1,82
10,0,87
8,1,77
12,1,78
11,1,86
11,0,75
10,0,79
6,0,76
13,1,76
13,0,79
15,1,86
9,0,78
12,0,76
11,1,84
12,1,84
11,0,71
9,0,86
10,1,77
13,1,81
9,0,81
10,1,80
11,1,75
8,1,89
12,0,87
10,1,72
14,0,80
10,0,81
12,1,71
12,1,87
14,0,83
10,1,90
11,1,83
7,1,76
7,0,86
11,1,79
12,0,82
11,1,75
10,0,76
7,0,78
10,1,76
10,1,77
11,0,80
8,0,85
9,1,70
12,1,81
11,0,73
9,0,79
11,0,95
8,0,82
13,0,85
11,1,75
10,1,81
